artist_key,artist_name,platform,canonical_url,evidence_sources,evidence_url,confidence,status,discovery_date,verification_date
"paty cantu","Paty Cantu","facebook","http://www.facebook.com/soypatycantu","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UCBCwn-LrgsGK7BG0q79kV5g/about","95","verified","2026-08-16","2026-08-16"
"paty cantu","Paty Cantu","instagram","https://www.instagram.com/patycantu","verified_musicbrainz_mapping+wikidata_social_identifier+verified_spotify_mapping+verified_youtube_channel+channel_about_external_link","http://www.wikidata.org/entity/Q3136608 | https://www.youtube.com/channel/UCBCwn-LrgsGK7BG0q79kV5g/about","95","verified","2026-08-16","2026-08-16"
"paty cantu","Paty Cantu","instagram","https://www.instagram.com/patycantuoficial","verified_musicbrainz_mapping+wikidata_social_identifier+verified_spotify_mapping","http://www.wikidata.org/entity/Q3136608","95","verified","2026-08-16","2026-08-16"
"paty cantu","Paty Cantu","twitter","https://x.com/PatyCantu","verified_musicbrainz_mapping+wikidata_social_identifier+verified_spotify_mapping","http://www.wikidata.org/entity/Q3136608","95","verified","2026-08-16","2026-08-16"
"paty cantu","Paty Cantu","twitter","http://www.twitter.com/patycantu","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UCBCwn-LrgsGK7BG0q79kV5g/about","95","verified","2026-08-16","2026-08-16"
"paulina rubio","Paulina Rubio","facebook","https://www.facebook.com/paulinarubio","verified_musicbrainz_mapping+wikidata_social_identifier+verified_spotify_mapping+verified_youtube_identity_mapping","http://www.wikidata.org/entity/Q202536","95","verified","2026-08-16","2026-08-16"
"paulina rubio","Paulina Rubio","facebook","https://es-es.facebook.com/paulinarubio","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UCuxn1zFiLGD-T43TSk9YqSg/about","95","verified","2026-08-16","2026-08-16"
"paulina rubio","Paulina Rubio","instagram","https://www.instagram.com/paulinarubio","verified_musicbrainz_mapping+wikidata_social_identifier+verified_spotify_mapping+verified_youtube_identity_mapping+verified_youtube_channel+channel_about_external_link","http://www.wikidata.org/entity/Q202536 | https://www.youtube.com/channel/UCuxn1zFiLGD-T43TSk9YqSg/about","95","verified","2026-08-16","2026-08-16"
"paulina rubio","Paulina Rubio","tiktok","https://www.tiktok.com/@paulinarubioficial","verified_musicbrainz_mapping+wikidata_social_identifier+verified_spotify_mapping+verified_youtube_identity_mapping","http://www.wikidata.org/entity/Q202536","95","verified","2026-08-16","2026-08-16"
"paulina rubio","Paulina Rubio","twitter","https://x.com/PaulinaRubio","verified_musicbrainz_mapping+wikidata_social_identifier+verified_spotify_mapping+verified_youtube_identity_mapping","http://www.wikidata.org/entity/Q202536","95","verified","2026-08-16","2026-08-16"
"paulina rubio","Paulina Rubio","twitter","https://twitter.com/paulinarubio","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UCuxn1zFiLGD-T43TSk9YqSg/about","95","verified","2026-08-16","2026-08-16"
"pedro fernandez","Pedro Fernández","facebook","https://www.facebook.com/PedroFernandezAventurero","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UCPDAy-ra3dQ8fP0OcgHlHKA/about","95","verified","2026-08-16","2026-08-16"
"pedro fernandez","Pedro Fernández","instagram","https://instagram.com/pedro.fer","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UCPDAy-ra3dQ8fP0OcgHlHKA/about","95","verified","2026-08-16","2026-08-16"
"pedro fernandez","Pedro Fernández","twitter","https://x.com/pedro_fer","verified_musicbrainz_mapping+wikidata_social_identifier","http://www.wikidata.org/entity/Q2091672","95","verified","2026-08-16","2026-08-16"
"pedro fernandez","Pedro Fernández","twitter","https://twitter.com/pedro_fer","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UCPDAy-ra3dQ8fP0OcgHlHKA/about","95","verified","2026-08-16","2026-08-16"
"pepe aguilar","Pepe Aguilar","facebook","https://www.facebook.com/pepeaguilaroficial","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UC-N64vzpIAqoTgKMeOxCDhA/about","95","verified","2026-08-16","2026-08-16"
